Country or Area,Year,Transaction,Unnamed: 0,Unnamed: 0.1,Quantity,Quantity Footnotes,Conversion_in_kWh,Commodity
Afghanistan,2010,Consumption not elsewhere specified (industry),78,78,205.0,1.0,1025000000.0,Coal products
Afghanistan,2010,Final energy consumption,27,27,205.0,1.0,1025000000.0,Coal products
Afghanistan,2010,Total energy supply,132,132,205.0,0.0,1025000000.0,Coal products
Afghanistan,2010,exports,24,24,48.0,0.0,372960000.0,Coal products
Afghanistan,2010,final consumption,112,112,205.0,1.0,1025000000.0,Coal products
Afghanistan,2010,imports,10,10,205.0,0.0,1025000000.0,Coal products
Afghanistan,2010,production,10,10,48.0,1.0,372960000.0,Coal products
Afghanistan,2011,"Consumption by manufacturing, construction and non-fuel industry",43,43,205.0,1.0,1025000000.0,Coal products
Afghanistan,2011,"Consumption by other manuf., const. and non-fuel ind.",60,60,205.0,1.0,1025000000.0,Coal products
Afghanistan,2011,Consumption not elsewhere specified (industry),77,77,205.0,1.0,1025000000.0,Coal products
Afghanistan,2011,Final energy consumption,26,26,205.0,1.0,1025000000.0,Coal products
Afghanistan,2011,Total energy supply,130,130,205.0,0.0,1025000000.0,Coal products
Afghanistan,2011,exports,23,23,48.0,0.0,372960000.0,Coal products
Afghanistan,2011,final consumption,111,111,205.0,1.0,1025000000.0,Coal products
Afghanistan,2011,imports,9,9,205.0,0.0,1025000000.0,Coal products
Afghanistan,2011,production,9,9,48.0,0.0,372960000.0,Coal products
Afghanistan,2012,"Consumption by manufacturing, construction and non-fuel industry",42,42,205.0,1.0,1025000000.0,Coal products
Afghanistan,2012,"Consumption by other manuf., const. and non-fuel ind.",59,59,205.0,1.0,1025000000.0,Coal products
Afghanistan,2012,Consumption not elsewhere specified (industry),76,76,205.0,1.0,1025000000.0,Coal products
Afghanistan,2012,Final energy consumption,25,25,205.0,1.0,1025000000.0,Coal products
Afghanistan,2012,Total energy supply,128,128,205.0,0.0,1025000000.0,Coal products
Afghanistan,2012,exports,22,22,48.0,0.0,372960000.0,Coal products
Afghanistan,2012,final consumption,110,110,205.0,1.0,1025000000.0,Coal products
Afghanistan,2012,imports,8,8,205.0,0.0,1025000000.0,Coal products
Afghanistan,2012,production,8,8,48.0,0.0,372960000.0,Coal products
Afghanistan,2013,"Consumption by manufacturing, construction and non-fuel industry",41,41,205.0,1.0,1025000000.0,Coal products
Afghanistan,2013,"Consumption by other manuf., const. and non-fuel ind.",58,58,205.0,1.0,1025000000.0,Coal products
Afghanistan,2013,Consumption not elsewhere specified (industry),75,75,205.0,1.0,1025000000.0,Coal products
Afghanistan,2013,Final energy consumption,24,24,205.0,1.0,1025000000.0,Coal products
Afghanistan,2013,Total energy supply,126,126,205.0,2.0,1025000000.0,Coal products
Afghanistan,2013,exports,21,21,52.3,1.0,406371000.0,Coal products
Afghanistan,2013,final consumption,109,109,205.0,1.0,1025000000.0,Coal products
Afghanistan,2013,imports,7,7,205.0,1.0,1025000000.0,Coal products
Afghanistan,2013,production,7,7,52.3,1.0,406371000.0,Coal products
Afghanistan,2014,"Consumption by manufacturing, construction and non-fuel industry",40,40,205.0,1.0,1025000000.0,Coal products
Afghanistan,2014,"Consumption by other manuf., const. and non-fuel ind.",57,57,205.0,1.0,1025000000.0,Coal products
Afghanistan,2014,Consumption not elsewhere specified (industry),74,74,205.0,1.0,1025000000.0,Coal products
Afghanistan,2014,Final energy consumption,23,23,205.0,1.0,1025000000.0,Coal products
Afghanistan,2014,Total energy supply,124,124,205.0,2.0,1025000000.0,Coal products
Afghanistan,2014,exports,20,20,59.2,1.0,459984000.0,Coal products
Afghanistan,2014,final consumption,108,108,205.0,1.0,1025000000.0,Coal products
Afghanistan,2014,imports,6,6,205.0,1.0,1025000000.0,Coal products
Afghanistan,2014,production,6,6,59.2,1.0,459984000.0,Coal products
Afghanistan,2015,"Consumption by manufacturing, construction and non-fuel industry",39,39,200.1,1.0,1000500000.0,Coal products
Afghanistan,2015,"Consumption by other manuf., const. and non-fuel ind.",56,56,200.1,1.0,1000500000.0,Coal products
Afghanistan,2015,Consumption not elsewhere specified (industry),73,73,200.1,1.0,1000500000.0,Coal products
Afghanistan,2015,Final energy consumption,22,22,200.1,1.0,1000500000.0,Coal products
Afghanistan,2015,Total energy supply,122,122,200.1,2.0,1000500000.0,Coal products
Afghanistan,2015,exports,19,19,53.2,1.0,413364000.0,Coal products
Afghanistan,2015,final consumption,107,107,200.1,1.0,1000500000.0,Coal products
Afghanistan,2015,imports,5,5,200.1,1.0,1000500000.0,Coal products
Afghanistan,2015,production,5,5,53.2,1.0,413364000.0,Coal products
Afghanistan,2016,"Consumption by manufacturing, construction and non-fuel industry",38,38,200.1,1.0,1000500000.0,Coal products
Afghanistan,2016,"Consumption by other manuf., const. and non-fuel ind.",55,55,200.1,1.0,1000500000.0,Coal products
Afghanistan,2016,Consumption not elsewhere specified (industry),72,72,200.1,1.0,1000500000.0,Coal products
Afghanistan,2016,Final energy consumption,21,21,200.1,1.0,1000500000.0,Coal products
Afghanistan,2016,Total energy supply,120,120,200.1,2.0,1000500000.0,Coal products
Afghanistan,2016,exports,18,18,66.2,1.0,514374000.0,Coal products
Afghanistan,2016,final consumption,106,106,200.1,1.0,1000500000.0,Coal products
Afghanistan,2016,imports,4,4,200.1,1.0,1000500000.0,Coal products
Afghanistan,2016,production,4,4,66.2,1.0,514374000.0,Coal products
Afghanistan,2017,"Consumption by manufacturing, construction and non-fuel industry",37,37,202.6,1.0,1013000000.0,Coal products
Afghanistan,2017,"Consumption by other manuf., const. and non-fuel ind.",54,54,202.6,1.0,1013000000.0,Coal products
Afghanistan,2017,Consumption not elsewhere specified (industry),71,71,202.6,1.0,1013000000.0,Coal products
Afghanistan,2017,Final energy consumption,20,20,202.6,1.0,1013000000.0,Coal products
Afghanistan,2017,Total energy supply,118,118,202.6,2.0,1013000000.0,Coal products
Afghanistan,2017,exports,17,17,67.0,1.0,520590000.0,Coal products
Afghanistan,2017,final consumption,105,105,202.6,1.0,1013000000.0,Coal products
Afghanistan,2017,imports,3,3,202.6,1.0,1013000000.0,Coal products
Afghanistan,2017,production,3,3,67.0,1.0,520590000.0,Coal products
Afghanistan,2018,"Consumption by manufacturing, construction and non-fuel industry",36,36,202.6,1.0,1013000000.0,Coal products
Afghanistan,2018,"Consumption by other manuf., const. and non-fuel ind.",53,53,202.6,1.0,1013000000.0,Coal products
Afghanistan,2018,Consumption not elsewhere specified (industry),70,70,202.6,1.0,1013000000.0,Coal products
Afghanistan,2018,Final energy consumption,19,19,202.6,1.0,1013000000.0,Coal products
Afghanistan,2018,Total energy supply,116,116,202.6,2.0,1013000000.0,Coal products
Afghanistan,2018,exports,16,16,67.0,1.0,520590000.0,Coal products
Afghanistan,2018,final consumption,104,104,202.6,1.0,1013000000.0,Coal products
Afghanistan,2018,imports,2,2,202.6,1.0,1013000000.0,Coal products
Afghanistan,2018,production,2,2,67.0,1.0,520590000.0,Coal products
Afghanistan,2019,"Consumption by manufacturing, construction and non-fuel industry",35,35,202.6,1.0,1013000000.0,Coal products
Afghanistan,2019,"Consumption by other manuf., const. and non-fuel ind.",52,52,202.6,1.0,1013000000.0,Coal products
Afghanistan,2019,Consumption not elsewhere specified (industry),69,69,202.6,1.0,1013000000.0,Coal products
Afghanistan,2019,Final energy consumption,18,18,202.6,1.0,1013000000.0,Coal products
Afghanistan,2019,Total energy supply,114,114,202.6,2.0,1013000000.0,Coal products
Afghanistan,2019,exports,15,15,67.0,1.0,520590000.0,Coal products
Afghanistan,2019,final consumption,103,103,202.6,1.0,1013000000.0,Coal products
Afghanistan,2019,imports,1,1,202.6,1.0,1013000000.0,Coal products
Afghanistan,2019,production,1,1,67.0,1.0,520590000.0,Coal products
Afghanistan,2020,"Consumption by manufacturing, construction and non-fuel industry",34,34,206.7,1.0,1033500000.0,Coal products
Afghanistan,2020,"Consumption by other manuf., const. and non-fuel ind.",51,51,206.7,1.0,1033500000.0,Coal products
Afghanistan,2020,Consumption not elsewhere specified (industry),68,68,206.7,1.0,1033500000.0,Coal products
Afghanistan,2020,Final energy consumption,17,17,206.7,1.0,1033500000.0,Coal products
Afghanistan,2020,Total energy supply,112,112,206.7,2.0,1033500000.0,Coal products
Afghanistan,2020,exports,14,14,69.7,1.0,541569000.0,Coal products
Afghanistan,2020,final consumption,102,102,206.7,1.0,1033500000.0,Coal products
Afghanistan,2020,imports,13,13,208.1,1.0,1044378000.0,Coal products
Afghanistan,2020,production,0,0,68.3,1.0,530691000.0,Coal products
Albania,1990,Consumption by other,62,62,230.0,1.0,1787100000.0,Coal products
Albania,1990,Consumption not elsewhere specified (other),127,127,497.0,2.0,3255600000.0,Coal products
Albania,1990,Final energy consumption,80,80,497.0,2.0,3255600000.0,Coal products
Albania,1990,Total energy supply,151,151,497.0,0.0,3255600000.0,Coal products
Albania,1990,consumption by Other,49,49,267.0,1.0,1468500000.0,Coal products
Albania,1990,final consumption,168,168,497.0,2.0,3255600000.0,Coal products
Albania,1990,imports,49,49,0.0,0.0,0.0,Coal products
Albania,1990,production,48,48,497.0,0.0,3255600000.0,Coal products
Albania,1991,Consumption by other,61,61,137.0,1.0,1064490000.0,Coal products
Albania,1991,Consumption not elsewhere specified (other),125,125,281.0,2.0,1856490000.0,Coal products
Albania,1991,Final energy consumption,78,78,281.0,2.0,1856490000.0,Coal products
Albania,1991,Total energy supply,149,149,281.0,0.0,1856490000.0,Coal products
Albania,1991,consumption by Other,48,48,144.0,1.0,792000000.0,Coal products
Albania,1991,final consumption,166,166,281.0,2.0,1856490000.0,Coal products
Albania,1991,imports,48,48,0.0,1.0,0.0,Coal products
Albania,1991,production,46,46,281.0,0.0,1856490000.0,Coal products
Albania,1992,Consumption by other,60,60,27.0,1.0,209790000.0,Coal products
Albania,1992,Consumption not elsewhere specified (other),123,123,64.0,2.0,413290000.0,Coal products
Albania,1992,Final energy consumption,76,76,64.0,2.0,413290000.0,Coal products
Albania,1992,Total energy supply,147,147,64.0,0.0,413290000.0,Coal products
Albania,1992,consumption by Other,47,47,37.0,1.0,203500000.0,Coal products
Albania,1992,exports,52,52,0.0,0.0,0.0,Coal products
Albania,1992,final consumption,164,164,64.0,2.0,413290000.0,Coal products
Albania,1992,imports,47,47,5.0,0.0,38850000.0,Coal products
Albania,1992,production,44,44,59.0,0.0,374440000.0,Coal products
Albania,1993,Consumption by other,59,59,16.0,1.0,124320000.0,Coal products
Albania,1993,Consumption not elsewhere specified (other),121,121,54.0,2.0,333320000.0,Coal products
Albania,1993,Final energy consumption,74,74,54.0,2.0,333320000.0,Coal products
Albania,1993,Total energy supply,145,145,54.0,0.0,333320000.0,Coal products
Albania,1993,consumption by Other,46,46,38.0,1.0,209000000.0,Coal products
Albania,1993,exports,51,51,2.0,0.0,15540000.0,Coal products
Albania,1993,final consumption,162,162,54.0,2.0,333320000.0,Coal products
Albania,1993,imports,46,46,18.0,0.0,139860000.0,Coal products
Albania,1993,production,42,42,38.0,0.0,209000000.0,Coal products
Albania,1994,Consumption by other,58,58,1.0,1.0,7770000.0,Coal products
Albania,1994,Consumption not elsewhere specified (other),119,119,3.0,2.0,18770000.0,Coal products
Albania,1994,Final energy consumption,72,72,3.0,2.0,18770000.0,Coal products
Albania,1994,Total energy supply,143,143,3.0,0.0,18770000.0,Coal products
Albania,1994,consumption by Other,45,45,2.0,1.0,11000000.0,Coal products
Albania,1994,exports,50,50,0.0,0.0,0.0,Coal products
Albania,1994,final consumption,160,160,3.0,2.0,18770000.0,Coal products
Albania,1994,imports,45,45,1.0,0.0,7770000.0,Coal products
Albania,1994,production,40,40,2.0,0.0,11000000.0,Coal products
Albania,2008,Consumption by commerce and public services,67,67,0.0,0.0,0.0,Coal products
Albania,2008,"Consumption by other manuf., const. and non-fuel ind.",37,37,12.75,0.0,70125000.0,Coal products
Albania,2008,Final energy consumption,18,18,12.75,0.0,70125000.0,Coal products
Albania,2008,Total energy supply,74,74,12.75,0.0,70125000.0,Coal products
Albania,2008,consumption by Other,44,44,0.0,0.0,0.0,Coal products
Albania,2008,"consumption by manufacturing, construction and non-fuel mining industry",30,30,12.75,0.0,70125000.0,Coal products
Albania,2008,final consumption,86,86,12.75,0.0,70125000.0,Coal products
Albania,2008,imports,11,11,12.75,0.0,70125000.0,Coal products
Albania,2009,Consumption by commerce and public services,66,66,0.0,0.0,0.0,Coal products
Albania,2009,"Consumption by other manuf., const. and non-fuel ind.",36,36,212.29,0.0,1167595000.0,Coal products
Albania,2009,Final energy consumption,17,17,212.29,0.0,1167595000.0,Coal products
Albania,2009,Total energy supply,73,73,212.29,0.0,1167595000.0,Coal products
Albania,2009,consumption by Other,43,43,0.0,0.0,0.0,Coal products
Albania,2009,consumption by households,55,55,0.0,0.0,0.0,Coal products
Albania,2009,"consumption by manufacturing, construction and non-fuel mining industry",29,29,212.29,0.0,1167595000.0,Coal products
Albania,2009,final consumption,85,85,212.29,0.0,1167595000.0,Coal products
Albania,2009,imports,10,10,212.29,0.0,1167595000.0,Coal products
Albania,2010,Consumption by commerce and public services,65,65,0.0,0.0,0.0,Coal products
Albania,2010,"Consumption by other manuf., const. and non-fuel ind.",35,35,233.71,0.0,1285405000.0,Coal products
Albania,2010,Final energy consumption,16,16,233.71,0.0,1285405000.0,Coal products
Albania,2010,Total energy supply,72,72,233.71,0.0,1285405000.0,Coal products
Albania,2010,consumption by Other,42,42,0.0,0.0,0.0,Coal products
Albania,2010,consumption by households,54,54,0.0,0.0,0.0,Coal products
Albania,2010,"consumption by manufacturing, construction and non-fuel mining industry",28,28,233.71,0.0,1285405000.0,Coal products
Albania,2010,final consumption,84,84,233.71,0.0,1285405000.0,Coal products
Albania,2010,imports,9,9,233.71,0.0,1285405000.0,Coal products
Albania,2011,Consumption by commerce and public services,64,64,10.63,0.0,58465000.00000001,Coal products
Albania,2011,"Consumption by other manuf., const. and non-fuel ind.",34,34,286.07,0.0,1573385000.0,Coal products
Albania,2011,Final energy consumption,15,15,296.7,0.0,1631850000.0,Coal products
Albania,2011,Total energy supply,71,71,296.69,0.0,1631795000.0,Coal products
Albania,2011,consumption by Other,41,41,10.63,0.0,58465000.00000001,Coal products
Albania,2011,consumption by households,53,53,0.0,0.0,0.0,Coal products
Albania,2011,"consumption by manufacturing, construction and non-fuel mining industry",27,27,286.07,0.0,1573385000.0,Coal products
Albania,2011,final consumption,83,83,296.7,0.0,1631850000.0,Coal products
Albania,2011,imports,8,8,296.69,0.0,1631795000.0,Coal products
Albania,2012,Consumption by commerce and public services,63,63,19.98,0.0,109890000.0,Coal products
Albania,2012,"Consumption by other manuf., const. and non-fuel ind.",33,33,327.9,0.0,1803450000.0,Coal products
Albania,2012,Final energy consumption,14,14,347.88,0.0,1913340000.0,Coal products
Albania,2012,Total energy supply,70,70,347.87,0.0,1913285000.0,Coal products
Albania,2012,consumption by Other,40,40,19.98,0.0,109890000.0,Coal products
Albania,2012,consumption by households,52,52,0.0,0.0,0.0,Coal products
Albania,2012,"consumption by manufacturing, construction and non-fuel mining industry",26,26,327.9,0.0,1803450000.0,Coal products
Albania,2012,final consumption,82,82,347.88,0.0,1913340000.0,Coal products
Albania,2012,imports,7,7,347.87,0.0,1913285000.0,Coal products
Albania,2013,Consumption by commerce and public services,62,62,19.98,0.0,109890000.0,Coal products
Albania,2013,"Consumption by other manuf., const. and non-fuel ind.",32,32,284.14,0.0,1562770000.0,Coal products
Albania,2013,Final energy consumption,13,13,304.12,0.0,1672660000.0,Coal products
Albania,2013,Total energy supply,69,69,304.12,0.0,1672660000.0,Coal products
Albania,2013,consumption by Other,39,39,19.98,0.0,109890000.0,Coal products
Albania,2013,consumption by households,51,51,0.0,0.0,0.0,Coal products
Albania,2013,"consumption by manufacturing, construction and non-fuel mining industry",25,25,284.14,0.0,1562770000.0,Coal products
Albania,2013,final consumption,81,81,304.12,0.0,1672660000.0,Coal products
Albania,2013,imports,6,6,304.12,0.0,1672660000.0,Coal products
Albania,2014,Consumption by commerce and public services,61,61,19.98,0.0,109890000.0,Coal products
Albania,2014,"Consumption by other manuf., const. and non-fuel ind.",31,31,369.16,0.0,2030380000.0,Coal products
Albania,2014,Final energy consumption,12,12,391.27,0.0,2151985000.0,Coal products
Albania,2014,Total energy supply,68,68,394.49,0.0,2169695000.0,Coal products
Albania,2014,consumption by Other,38,38,22.11,0.0,121605000.0,Coal products
Albania,2014,consumption by households,50,50,2.13,0.0,11715000.0,Coal products
Albania,2014,"consumption by manufacturing, construction and non-fuel mining industry",24,24,369.16,0.0,2030380000.0,Coal products
Albania,2014,final consumption,80,80,391.27,0.0,2151985000.0,Coal products
Albania,2014,imports,5,5,394.49,0.0,2169695000.0,Coal products
Algeria,1990,Consumption by iron and steel,148,148,1200.0,1.0,333333600.0,Coal products
Algeria,1990,"Consumption by manufacturing, construction and non-fuel industry",416,416,1531.0,1.0,2905203600.0,Coal products
Algeria,1990,"Consumption by other manuf., const. and non-fuel ind.",333,333,13.0,0.0,101010000.0,Coal products
Algeria,1990,Consumption not elsewhere specified (industry),339,339,13.0,1.0,101010000.0,Coal products
Algeria,1990,Final energy consumption,356,356,1531.0,1.0,2905203600.0,Coal products
Algeria,1990,Losses,59,59,2883.0,1.0,800833974.0,Coal products
Algeria,1990,Production,29,29,4083.0,1.0,1134167574.0,Coal products
Algeria,1990,Total energy supply,560,560,4864.0,2.0,7180337574.0,Coal products
Algeria,1990,consumption by iron and steel industry,327,327,318.0,0.0,2470860000.0,Coal products
Algeria,1990,exports,138,138,3.0,0.0,23310000.0,Coal products
Algeria,1990,final consumption,609,609,1531.0,1.0,2905203600.0,Coal products
Algeria,1990,imports,135,135,135.0,1.0,1026750000.0,Coal products
Algeria,1990,production,97,97,758.0,0.0,5889660000.0,Coal products
Algeria,1990,stock changes,168,168,109.0,0.0,846930000.0,Coal products
Algeria,1990,transformation,198,198,362.0,0.0,2812740000.0,Coal products
Algeria,1990,transformation in blast furnaces,228,228,362.0,0.0,2812740000.0,Coal products
Algeria,1991,Consumption by iron and steel,147,147,1200.0,1.0,333333600.0,Coal products
Algeria,1991,"Consumption by manufacturing, construction and non-fuel industry",414,414,1544.0,1.0,3006213600.0,Coal products
Algeria,1991,"Consumption by other manuf., const. and non-fuel ind.",332,332,13.0,0.0,101010000.0,Coal products
Algeria,1991,Consumption not elsewhere specified (industry),338,338,13.0,1.0,101010000.0,Coal products
Algeria,1991,Final energy consumption,354,354,1544.0,1.0,3006213600.0,Coal products
Algeria,1991,Losses,58,58,2612.0,1.0,725556136.0,Coal products
Algeria,1991,Production,28,28,3812.0,1.0,1058889736.0,Coal products
Algeria,1991,Total energy supply,557,557,4498.0,2.0,6366909736.0,Coal products
Algeria,1991,consumption by iron and steel industry,326,326,331.0,0.0,2571870000.0,Coal products
Algeria,1991,exports,137,137,0.0,0.0,0.0,Coal products
Algeria,1991,final consumption,607,607,1544.0,1.0,3006213600.0,Coal products
Algeria,1991,imports,133,133,10.0,1.0,55500000.0,Coal products
Algeria,1991,production,96,96,775.0,0.0,6021750000.0,Coal products
Algeria,1991,stock changes,167,167,99.0,0.0,769230000.0,Coal products
Algeria,1991,transformation,197,197,338.0,0.0,2626260000.0,Coal products
Algeria,1991,transformation in blast furnaces,227,227,338.0,0.0,2626260000.0,Coal products
Algeria,1992,Consumption by iron and steel,146,146,1250.0,1.0,347222500.0,Coal products
Algeria,1992,"Consumption by manufacturing, construction and non-fuel industry",412,412,1608.0,1.0,3128882500.0,Coal products
Algeria,1992,"Consumption by other manuf., const. and non-fuel ind.",331,331,8.0,0.0,62160000.0,Coal products
Algeria,1992,Consumption not elsewhere specified (industry),337,337,8.0,1.0,62160000.0,Coal products
Algeria,1992,Final energy consumption,352,352,1608.0,1.0,3128882500.0,Coal products
Algeria,1992,Losses,57,57,2788.0,1.0,774445064.0,Coal products
Algeria,1992,Production,27,27,4038.0,1.0,1121667564.0,Coal products
Algeria,1992,Total energy supply,554,554,4701.0,2.0,6250977564.0,Coal products
Algeria,1992,consumption by iron and steel industry,325,325,350.0,0.0,2719500000.0,Coal products
Algeria,1992,exports,136,136,0.0,0.0,0.0,Coal products
Algeria,1992,final consumption,605,605,1608.0,1.0,3128882500.0,Coal products
Algeria,1992,imports,131,131,10.0,1.0,55500000.0,Coal products
Algeria,1992,production,95,95,791.0,0.0,6146070000.0,Coal products
Algeria,1992,stock changes,166,166,138.0,0.0,1072260000.0,Coal products
Algeria,1992,transformation,196,196,358.0,0.0,2781660000.0,Coal products
Algeria,1992,transformation in blast furnaces,226,226,358.0,0.0,2781660000.0,Coal products
Algeria,1993,Consumption by iron and steel,145,145,1300.0,1.0,361111400.0,Coal products
Algeria,1993,"Consumption by manufacturing, construction and non-fuel industry",410,410,1590.0,1.0,2614411400.0,Coal products
Algeria,1993,"Consumption by other manuf., const. and non-fuel ind.",330,330,9.0,0.0,69930000.0,Coal products
Algeria,1993,Consumption not elsewhere specified (industry),336,336,9.0,1.0,69930000.0,Coal products
Algeria,1993,Final energy consumption,350,350,1590.0,1.0,2614411400.0,Coal products
Algeria,1993,Losses,56,56,3009.0,1.0,835834002.0,Coal products
Algeria,1993,Production,26,26,4309.0,1.0,1196945402.0,Coal products
Algeria,1993,Total energy supply,543,543,4951.0,1.0,6185285402.0,Coal products
Algeria,1993,consumption by iron and steel industry,324,324,281.0,0.0,2183370000.0,Coal products
Algeria,1993,exports,135,135,0.0,0.0,0.0,Coal products
Algeria,1993,final consumption,603,603,1590.0,1.0,2614411400.0,Coal products
Algeria,1993,imports,124,124,0.0,0.0,0.0,Coal products
Algeria,1993,production,94,94,718.0,0.0,5578860000.0,Coal products
Algeria,1993,stock changes,165,165,76.0,0.0,590520000.0,Coal products
Algeria,1993,transformation,195,195,382.0,0.0,2968140000.0,Coal products
Algeria,1993,transformation in blast furnaces,225,225,382.0,0.0,2968140000.0,Coal products
Algeria,1994,Consumption by iron and steel,144,144,900.0,1.0,250000200.0,Coal products
Algeria,1994,"Consumption by manufacturing, construction and non-fuel industry",408,408,1291.0,1.0,3288070200.0,Coal products
Algeria,1994,"Consumption by other manuf., const. and non-fuel ind.",329,329,0.0,0.0,0.0,Coal products
Algeria,1994,Consumption not elsewhere specified (industry),335,335,0.0,1.0,0.0,Coal products
Algeria,1994,Final energy consumption,348,348,1291.0,1.0,3288070200.0,Coal products
Algeria,1994,Losses,55,55,2168.0,1.0,602222704.0,Coal products
Algeria,1994,Production,25,25,3068.0,1.0,852222904.0,Coal products
Algeria,1994,Total energy supply,541,541,3748.0,1.0,6135822904.0,Coal products
Algeria,1994,consumption by iron and steel industry,323,323,391.0,0.0,3038070000.0,Coal products
Algeria,1994,exports,134,134,7.0,0.0,54390000.0,Coal products
Algeria,1994,final consumption,601,601,1291.0,1.0,3288070200.0,Coal products
Algeria,1994,imports,123,123,0.0,0.0,0.0,Coal products
Algeria,1994,production,93,93,618.0,0.0,4801860000.0,Coal products
Algeria,1994,stock changes,164,164,-69.0,0.0,-536130000.0,Coal products
